Column1;Course code;Course Name;Long descrition;Description;Prerequisites:;Semester;Format;CRN;Subject;Course;Type;Credits;Instructor;Status
11;ATOC 214 ;Introduction: Physics of the Atmosphere.;"An introduction to physical meteorology designed for students in the physical sciences. Topics include: composition of the atmosphere; heat transfer; the upper atmosphere; atmospheric optics; formation of clouds and precipitation; instability; adiabatic charts. 
 
 Fall
 3 hours lecture
 Prerequisite: CEGEP Physics, or the combination of PHYS 131 and PHYS 142, or permission of instructor.
 
 3.000 Credit hours 
 
 Schedule Types: Lecture, Final Exam, Midterm Exam 
 
 Faculty of Science 
 Atmospheric & Oceanic Sciences Department";"An introduction to physical meteorology designed for students in the physical sciences. Topics include: composition of the atmosphere; heat transfer; the upper atmosphere; atmospheric optics; formation of clouds and precipitation; instability; adiabatic charts. 
 "; CEGEP Physics, or the combination of PHYS 131 and PHYS 142, or permission of instructor.; Fall;;1327;ATOC;214;Lecture;30;Andreas  Zuend;Active
12;ATOC 312 ;Rotating Fluid Dynamics.;"Lagrangian and Eulerian time derivatives. Vorticity, divergence and Helmholtz decomposition. Two-dimensional Navier-Stokes equation for non-divergent flows. Rotating coordinate systems and the shallow water equations. Linear solutions, potential vorticity, and geostrophy in the shallow water context. Shallow-water quasi-geostrophic approximation, including Rossby waves and barotrophic (Rayleigh) instability. 
 
 Fall
 Prerequisites: MATH 314
 Not open to students who have taken ATOC 412.
 
 3.000 Credit hours 
 
 Schedule Types: Lecture, Final Exam, Midterm Exam 
 
 Faculty of Science 
 Atmospheric & Oceanic Sciences Department";Lagrangian and Eulerian time derivatives. Vorticity, divergence and Helmholtz decomposition. Two-dimensional Navier-Stokes equation for non-divergent flows. Rotating coordinate systems and the shallow water equations. Linear solutions, potential vorticity, and geostrophy in the shallow water context. Shallow-water quasi-geostrophic approximation, including Rossby waves and barotrophic (Rayleigh) instability. ;MATH 314; Fall;;1328;ATOC;312;Lecture;30;Evangelia  Ioannidou;Active
13;ATOC 315 ;Thermodynamics and Convection.;"Buoyancy+D79, stability, and vertical oscillations. Dry and moist adiabatic processes. Resulting dry and precipitating convective circulations from the small scale to the global scale. Mesoscale precipitation systems from the cell to convective complexes. Severe convection, downbursts, mesocyclones. 
 
 Fall
 3 hours lecture
 Prerequisites: ATOC 214 and MATH 222
 
 3.000 Credit hours 
 
 Schedule Types: Lecture, Final Exam, Midterm Exam 
 
 Faculty of Science 
 Atmospheric & Oceanic Sciences Department";Buoyancy+D79, stability, and vertical oscillations. Dry and moist adiabatic processes. Resulting dry and precipitating convective circulations from the small scale to the global scale. Mesoscale precipitation systems from the cell to convective complexes. Severe convection, downbursts, mesocyclones. ;ATOC 214 and MATH 222; Fall;;1329;ATOC;315;Lecture;30;Daniel Joseph Kirshbaum;Active
14;ATOC 404 ;Climate Physics.;"This course covers the essentials of climate physics through the lens of one-dimensional, vertical atmospheric models. This includes shortwave and longwave radiative transfer, convection, phase changes, clouds, greenhouse gases, and atmospheric escape. This is an adequate level of detail for understanding Earth's climate, paleoclimate, anthropogenic climate change, or pursuing studies of Solar System planets and extrasolar planets. 
 
 Prerequisite(s): PHYS 230 or PHYS 251, PHYS 232 or PHYS 253, MATH 315 or MATH 325, and MATH 222
 Restriction(s): Not open to students who have taken PHYS 404.
 
 3.000 Credit hours 
 
 Schedule Types: Lecture 
 
 Faculty of Science 
 Atmospheric & Oceanic Sciences Department";This course covers the essentials of climate physics through the lens of one-dimensional, vertical atmospheric models. This includes shortwave and longwave radiative transfer, convection, phase changes, clouds, greenhouse gases, and atmospheric escape. This is an adequate level of detail for understanding Earth's climate, paleoclimate, anthropogenic climate change, or pursuing studies of Solar System planets and extrasolar planets. ; PHYS 230 or PHYS 251, PHYS 232 or PHYS 253, MATH 315 or MATH 325, and MATH 222;;;1331;ATOC;404;Lecture;30;Yi  Huang;Active
15;ATOC 512 ;Atmospheric and Oceanic Dynamics.;"Introduction to the fluid dynamics of large-scale flows of the atmosphere and oceans. Stratification of atmosphere and oceans. Equations of state, thermodynamics and momentum. Kinematics, circulation, and vorticity. Hydrostatic and quasi-geostrophic flows. Brief introduction to wave motions, flow over topography, Ekman boundary layers, turbulence. 
 
 Fall
 3 hours lecture
 Prerequisite (Undergraduate): MATH 314, MATH 315, or permission of instructor
 
 3.000 Credit hours 
 
 Schedule Types: Lecture, Final Exam, Midterm Exam 
 
 Faculty of Science 
 Atmospheric & Oceanic Sciences Department";"Introduction to the fluid dynamics of large-scale flows of the atmosphere and oceans. Stratification of atmosphere and oceans. Equations of state, thermodynamics and momentum. Kinematics, circulation, and vorticity. Hydrostatic and quasi-geostrophic flows. Brief introduction to wave motions, flow over topography, Ekman boundary layers, turbulence. 
 ";"MATH 314, MATH 315, or permission of instructor
 "; Fall;;1333;ATOC;512;Lecture;30;David N  Straub;Active
16;ATOC 519 ;Advances in Chemistry of Atmosphere.;"Selected areas of atmospheric chemistry from field and laboratory to theoretical modelling are examined. The principles of atmospheric reactions (gas, liquid and heterogeneous phases in aerosols and clouds) and issues related to chemical global change will be explored. 
 
 Prerequisites: CHEM 243, and CHEM 263 or CHEM 213 and CHEM 273, MATH 222 and MATH 315 (or equivalents) or permission of instructor.
 Restriction(s): Not open to students who have taken or are taking ATOC 419, ATOC 619, CHEM 419, CHEM 519 or CHEM 619.
 3 hours lecture
 Offered in odd years. Students should register in CHEM 519 in even years.
 
 3.000 Credit hours 
 
 Schedule Types: Lecture 
 
 Faculty of Science 
 Atmospheric & Oceanic Sciences Department";Selected areas of atmospheric chemistry from field and laboratory to theoretical modelling are examined. The principles of atmospheric reactions (gas, liquid and heterogeneous phases in aerosols and clouds) and issues related to chemical global change will be explored. ;CHEM 243, and CHEM 263 or CHEM 213 and CHEM 273, MATH 222 and MATH 315 (or equivalents) or permission of instructor.;;;1334;ATOC;519;Lecture;30;Parisa A  Ariya;Active
17;ATOC 525 ;Atmospheric Radiation.;"Solar and terrestrial radiation. Interactions of molecules, aerosols, clouds, and precipitation with radiation of various wavelengths. Radiative transfer through the clear and cloudy atmosphere. Radiation budgets. Satellite and ground-based measurements. Climate implications. 
 
 Prerequisites (Undergraduates): ATOC 315, MATH 314, and MATH 315, or permission of instructor.
 Restriction: Not open to students who have taken ATOC 620.
 
 3.000 Credit hours 
 
 Schedule Types: Lecture, Final Exam, Midterm Exam 
 
 Faculty of Science 
 Atmospheric & Oceanic Sciences Department";Solar and terrestrial radiation. Interactions of molecules, aerosols, clouds, and precipitation with radiation of various wavelengths. Radiative transfer through the clear and cloudy atmosphere. Radiation budgets. Satellite and ground-based measurements. Climate implications. ; ATOC 315, MATH 314, and MATH 315, or permission of instructor.;;;1335;ATOC;525;Lecture;30;Yi  Huang;Active
18;ATOC 531 ;Dynamics of Current Climates.;"The general circulation of the atmosphere and oceans. Atmospheric and oceanic general circulation models. Observations and models of the El Ni̱o and Southern Oscillation phenomena. 
 
 Fall
 3 hours lecture
 Prerequisite (Undergraduate): MATH 315 or permission of instructor
 Corequisite (Undergraduate): ATOC 312 or ATOC 512 or permission of instructor
 
 3.000 Credit hours 
 
 Schedule Types: Lecture, Final Exam, Midterm Exam 
 
 Faculty of Science 
 Atmospheric & Oceanic Sciences Department";The general circulation of the atmosphere and oceans. Atmospheric and oceanic general circulation models. Observations and models of the El Ni̱o and Southern Oscillation phenomena.; MATH 315 or permission of instructor; Fall;;1336;ATOC;531;Lecture;30;Evangelia  Ioannidou;Active
19;ATOC 540 ;Synoptic Meteorology 1.;"Analysis of current meteorological data. Description of a geostrophic, hydrostatic atmosphere. Ageostrophic circulations and hydrostatic instabilities. Kinematic and thermodynamic methods of computing vertical motions. Tropical and extratropical condensation rates. Barotropic and equivalent barotropic atmospheres. 
 
 Fall
 2 hours lecture; 2 hours laboratory
 Prerequisite (Undergraduate): MATH 314, MATH 315, or permission of instructor
 
 3.000 Credit hours 
 
 Schedule Types: Lecture, Final Exam 
 
 Faculty of Science 
 Atmospheric & Oceanic Sciences Department";Analysis of current meteorological data. Description of a geostrophic, hydrostatic atmosphere. Ageostrophic circulations and hydrostatic instabilities. Kinematic and thermodynamic methods of computing vertical motions. Tropical and extratropical condensation rates. Barotropic and equivalent barotropic atmospheres. ;MATH 314, MATH 315, or permission of instructor; Fall;;1337;ATOC;540;Lecture;30;John Richard  Gyakum;Active
20;BIOC 311 ;Metabolic Biochemistry.;"The generation of metabolic energy in higher organisms with an emphasis on its regulation at the molecular, cellular and organ level. Chemical concepts and mechanisms of enzymatic catalysis are also emphasized. Included: selected topics in carbohydrate, lipid and nitrogen metabolism; complex lipids and biological membranes; hormonal signal transduction. 
 
 Fall
 Prerequisites: BIOL 200, BIOL 201 or BIOC 212, CHEM 222 or CHEM 234
 
 3.000 Credit hours 
 
 Schedule Types: Lecture, Midterm Exam 
 
 Faculty of Science 
 Biochemistry Department";"The generation of metabolic energy in higher organisms with an emphasis on its regulation at the molecular, cellular and organ level. Chemical concepts and mechanisms of enzymatic catalysis are also emphasized. Included: selected topics in carbohydrate, lipid and nitrogen metabolism; complex lipids and biological membranes; hormonal signal transduction. "; BIOL 200, BIOL 201 or BIOC 212, CHEM 222 or CHEM 234; Fall;;1389;BIOC;311;Lecture;30;Maxime  Denis, Lawrence  Kazak, Kalle Burgess  Gehring, Vincent  Giguere;Active
21;BIOC 320 ;Laboratory Methods in Biochemistry and Molecular Biology 2.;"Modern molecular-biological methods for isolation and characterization of nucleic acids and for analysis of RNA and protein expression, including: plasmid expression, isolation, restriction and ligation; electrophoretic methods and Western blotting; PCR and qPCR applications; immunofluorescence microscopy and basic bioinformatics approaches. 
 
 Prerequisite(s): BIOC 220
 Restriction(s): Not open to students who have taken or are taking BIOL 301. Open to students in Biochemistry programs; others with permission of the instructor.
 
 3.000 Credit hours 
 
 Schedule Types: Lecture, Laboratory 
 All Sections for this Course 
 
 Faculty of Science 
 Biochemistry Department";"Modern molecular-biological methods for isolation and characterization of nucleic acids and for analysis of RNA and protein expression, including: plasmid expression, isolation, restriction and ligation; electrophoretic methods and Western blotting; PCR and qPCR applications; immunofluorescence microscopy and basic bioinformatics approaches. ";BIOC 220;;;1390;BIOC;320;Lecture;30;Jose Guerreiro  Teodoro;Active
22;BIOC 450 ;Protein Structure and Function.;"Primary, secondary, tertiary and quaternary structure of enzymes. Active site mapping and site-specific mutagenesis of enzymes. Enzyme kinetics and mechanisms of catalysis. Multienzyme complexes. 
 
 Fall
 Prerequisites: BIOC 311, BIOC 312 and/or sufficient organic chemistry.
 Restriction: Intended primarily for students at the U3 level
 
 3.000 Credit hours 
 
 Schedule Types: Lecture, Midterm Exam 
 
 Faculty of Science 
 Biochemistry Department";Primary, secondary, tertiary and quaternary structure of enzymes. Active site mapping and site-specific mutagenesis of enzymes. Enzyme kinetics and mechanisms of catalysis. Multienzyme complexes. ; BIOC 311, BIOC 312 and/or sufficient organic chemistry.; Fall;;1396;BIOC;450;Lecture;30;Bhushan  Nagar, Enrico  Purisima, Kalle Burgess  Gehring, Alba  Guarne, Christopher James von Roretz, Reza  Salavati, Thomas Martin  Schmeing, Albert Marinus Berghuis;Active
23;BIOC 454 ;Nucleic Acids.;"RNA processing, localization and stability. RNAi mechanisms, regulation and applications. Regulation of DNA replication. Genomics: human genome sequence, regulation and organization. DNA repair mechanisms. Special topics on transgenics, genetic diseases and cancer. 
 
 Fall
 Prerequisites: BIOC 311, BIOC 312 or permission of instructor 
 
 3.000 Credit hours 
 
 Schedule Types: Lecture, Midterm Exam 
 
 Faculty of Science 
 Biochemistry Department";RNA processing, localization and stability. RNAi mechanisms, regulation and applications. Regulation of DNA replication. Genomics: human genome sequence, regulation and organization. DNA repair mechanisms. Special topics on transgenics, genetic diseases and cancer. ;BIOC 311, BIOC 312 or permission of instructor ; Fall;;1397;BIOC;454;Lecture;30;William  Pastor, Imed Eddine  Gallouzi, Alain  Nepveu, Thomas  Duchaine, Sidong  Huang, Ian Robert Watson, Jose Guerreiro  Teodoro, Josee  Dostie;Active
24;BIOL 111 ;Principles: Organismal Biology.;"An introduction to the phylogeny, structure, function and adaptation of unicellular organisms, plants and animals in the biosphere. 
 
 Fall
 2 hours lecture and 3 hours laboratory
 Restriction: Not open to students who have taken CEGEP objective 00UK or equivalent; or BIOL 115.
 This course serves as an alternative to CEGEP objective code 00UK
 Labs are held weekly, starting from the second week of term. Attendance at the first lab is mandatory to confirm registration in the course.
 
 3.000 Credit hours 
 
 Schedule Types: Lecture, Lab Exam, Laboratory, Midterm Exam, Presentation 
 All Sections for this Course 
 
 Faculty of Science 
 Biology Department";"An introduction to the phylogeny, structure, function and adaptation of unicellular organisms, plants and animals in the biosphere. 
 ";; Fall;;1417;BIOL;111;Lecture;30;Graham  Bell, Anna Lesley Hargreaves, Elena Melania Cristescu, David M  Green;Active
25;BIOL 115 ;Essential Biology.;"An introduction to biological science that emphasizes the manner in which scientific understanding is achieved and evolves and the influence of biological science on society. Topics will include cell structure and function, genetics, evolution, organ physiology, ecology and certain special topics that change from year to year. 
 
 Fall
 3 hours lecture
 Prerequisites: none.
 Restrictions: Open only to non-Science students; not open to students who have had BIOL 111, BIOL 112, or equivalents.
 
 3.000 Credit hours 
 
 Schedule Types: Lecture, Midterm Exam, Optional Tutorial 
 
 Faculty of Science 
 Biology Department";An introduction to biological science that emphasizes the manner in which scientific understanding is achieved and evolves and the influence of biological science on society. Topics will include cell structure and function, genetics, evolution, organ physiology, ecology and certain special topics that change from year to year. ;; Fall;;1422;BIOL;115;Lecture;30;Sarah  Woolley, Jacalyn Mari Vogel;Active
26;BIOL 200 ;Molecular Biology.;"The physical and chemical properties of the cell and its components in relation to their structure and function. Topics include: protein structure, enzymes and enzyme kinetics; nucleic acid replication, transcription and translation; the genetic code, mutation, recombination, and regulation of gene expression. 
 
 Fall
 3 hours lecture, 1 hour optional tutorial
 Prerequisite: BIOL 112 or equivalent
 Corequisite: CHEM 212 or equivalent, or CHEM 204
 
 3.000 Credit hours 
 
 Schedule Types: Lecture, Midterm Exam, Optional Tutorial 
 
 Faculty of Science 
 Biology Department";"The physical and chemical properties of the cell and its components in relation to their structure and function. Topics include: protein structure, enzymes and enzyme kinetics; nucleic acid replication, transcription and translation; the genetic code, mutation, recombination, and regulation of gene expression. ";BIOL 112 or equivalent; Fall;;1423;BIOL;200;Lecture;30;Rodrigo  Reyes Lamothe, Paul  Lasko, Richard D W  Roy, Kenneth E M  Hastings;Active
29;BIOL 206 ;Methods in Biology.;"Introduction to modern methods used in organismal biology, including ecological sampling, experimental methods and statistics. Particular emphasis is on ways of thinking about the design of sampling programs and the analyses of data to test hypotheses using observational or experimental data. 
 
 Fall
 1. 2 hours lecture, 2. 3 hours laboratory
 Prerequisite: BIOL 111 or equivalent 
 
 3.000 Credit hours 
 
 Schedule Types: Lecture, Laboratory 
 All Sections for this Course 
 
 Faculty of Science 
 Biology Department";Introduction to modern methods used in organismal biology, including ecological sampling, experimental methods and statistics. Particular emphasis is on ways of thinking about the design of sampling programs and the analyses of data to test hypotheses using observational or experimental data. ; BIOL 111 or equivalent ; Fall;;1426;BIOL;206;Lecture;30;Shaun  Turney, Laura Jo Pollock, Hans Carl Erling Larsson, Brian  Leung;Active
30;BIOL 210 ;Perspectives of Science.;"This course is an introduction to the thinking, language and practices of scientists. Its objective is to bridge the gap between science and the humanities, and in particular to allow students enrolled in the Minor Concentration in Science for Arts to pursue their interests in specific scientific disciplines. 
 
 Fall
 3 hours lecture
 
 3.000 Credit hours 
 
 Schedule Types: Lecture, Final Exam, Midterm Exam, Optional Tutorial 
 
 Faculty of Science 
 Biology Department";This course is an introduction to the thinking, language and practices of scientists. Its objective is to bridge the gap between science and the humanities, and in particular to allow students enrolled in the Minor Concentration in Science for Arts to pursue their interests in specific scientific disciplines.;; Fall;;1433;BIOL;210;Lecture;30;Shelton Michael Hendricks, Alanna Jean Watt;Active
31;BIOL 215 ;Introduction to Ecology and Evolution.;"An introduction to the fundamental processes of ecology and evolution that bear on the nature and diversity of organisms and the processes that govern their assembly into ecological communities and their roles in ecosystem function. 
 
 Fall
 3 hours lecture
 Prerequisite: BIOL 111
 Restriction: Not open to students who have taken ENVR 202
 
 3.000 Credit hours 
 
 Schedule Types: Lecture, Midterm Exam, Optional Tutorial, Tutorial 
 All Sections for this Course 
 
 Faculty of Science 
 Biology Department";An introduction to the fundamental processes of ecology and evolution that bear on the nature and diversity of organisms and the processes that govern their assembly into ecological communities and their roles in ecosystem function. ;BIOL 111; Fall;;1434;BIOL;215;Lecture;30;Neil  Price, Jennifer M. Sunday, Ehab  Abouheif;Active
32;BIOL 300 ;Molecular Biology of the Gene.;"A survey of current knowledge and approaches in the area of regulation of gene expression, post-transcriptional control of gene expression, and signal transduction. 
 
 Fall
 3 hours lecture
 Prerequisites: BIOL 219 or BIOL 200 plus either BIOL 201 or ANAT 212/BIOC 212
 
 3.000 Credit hours 
 
 Schedule Types: Lecture, Midterm Exam 
 
 Faculty of Science 
 Biology Department";A survey of current knowledge and approaches in the area of regulation of gene expression, post-transcriptional control of gene expression, and signal transduction. ;BIOL 219 or BIOL 200 plus either BIOL 201 or ANAT 212/BIOC 212; Fall;;1440;BIOL;300;Lecture;30;Frieder Bernd Sch̦ck, Nam Sung  Moon;Active
33;BIOL 301 ;Cell and Molecular Laboratory.;"An introduction to biology research and communication with a focus on cell and molecular biology. Through conducting a series of project-based experiments and writing a final report, molecular and synthetic biology techniques such as gene cloning, manipulation, protein isolation and characterization and how research is conducted, analyzed and communicated will be addressed. In addition, an introduction to bioinformatics methods and their role in analysis will be provided. 
 
 Fall or Winter
 1 hour lecture and one 6-hour laboratory
 Prerequisites: BIOL 200, BIOL 201 (or ANAT 212/BIOC 212); or BIOL 219
 Restrictions: Not open to students who have taken or are taking BIOC 300, or BIOC 220 and BIOC 320. Requires departmental approval.
 For approval email hugo.zheng@mcgill.ca. Specify your ID number as well as the term and two lab day preferences.
 
 4.000 Credit hours 
 
 Schedule Types: Lecture, Laboratory, Midterm Exam 
 All Sections for this Course 
 
 Faculty of Science 
 Biology Department";An introduction to biology research and communication with a focus on cell and molecular biology. Through conducting a series of project-based experiments and writing a final report, molecular and synthetic biology techniques such as gene cloning, manipulation, protein isolation and characterization and how research is conducted, analyzed and communicated will be addressed. In addition, an introduction to bioinformatics methods and their role in analysis will be provided. ;"BIOL 200, BIOL 201 (or ANAT 212/BIOC 212); or BIOL 219"; Fall or Winter;;1441;BIOL;301;Lecture;40;Maxime  Leroux, Rodrigo  Reyes Lamothe, Paul Martin Harrison;Active
